province,month,year,month_of_year,hcl_emission,pcl_emission
四川省,6,1962,7,6690954008.947898,4617565647.408376
天津市,6,1962,7,24273371.364185527,16891541.91261512
宁夏回族自治区,6,1962,7,97528337.59702124,27336803.006714478
安徽省,6,1962,7,1867974007.4255085,2045209597.966316
山东省,6,1962,7,3134613502.8284917,2962974315.12223
山西省,6,1962,7,1064224778.3660177,436197092.37322134
广东省,6,1962,7,1468522256.9126167,811156179.9816458
广西壮族自治区,6,1962,7,1338841612.4486175,1161390480.0525916
新疆维吾尔自治区,6,1962,7,8612561473.91275,10327780021.390823
江苏省,6,1962,7,1544673568.4681113,2015478466.9655802
江西省,6,1962,7,868010728.0665418,584293342.0887659
河北省,6,1962,7,3230886707.635126,2030374839.175669
河南省,6,1962,7,2620345229.4843097,1783877616.8228374
浙江省,6,1962,7,751583903.6962639,1022822679.8637816
海南省,6,1962,7,64065706.791010976,121955028.06083609
湖北省,6,1962,7,1967090036.930668,1908336832.6341763
湖南省,6,1962,7,1890724685.7361002,988833424.3457397
甘肃省,6,1962,7,2067160077.36134,1162462920.630891
福建省,6,1962,7,372017501.8418102,192110768.3925107
西藏自治区,6,1962,7,2239090459.944386,4200648118.350667
贵州省,6,1962,7,995573181.5049167,389744534.4336266
辽宁省,6,1962,7,1427634344.7933867,1029798036.1548362
重庆市,6,1962,7,459509082.29348093,362640596.9654197
陕西省,6,1962,7,1256120267.8521264,856925745.0758059
青海省,6,1962,7,556805808.0291458,320648809.3938407
香港特别行政区,6,1962,7,365311.798405713,55283.875220967115
黑龙江省,6,1962,7,5618214074.3448,6663375163.504584
上海市,7,1962,8,14184137.883659849,4414050.762956061
云南省,7,1962,8,1898646144.2014942,839985358.4056536
内蒙古自治区,7,1962,8,8541386390.492125,7610518753.794022
北京市,7,1962,8,39135625.40922094,21792371.91058783
吉林省,7,1962,8,1497084257.5359678,1360204429.8781598
四川省,7,1962,8,6678840433.224914,4532245531.75416
天津市,7,1962,8,24025888.74232838,15507042.545241753
宁夏回族自治区,7,1962,8,97412808.1126265,26864745.921356063
安徽省,7,1962,8,1852144492.2523932,1933586582.8133242
山东省,7,1962,8,3107351151.208829,2782177690.92792
山西省,7,1962,8,1056300951.2021575,386427801.36172795
广东省,7,1962,8,1480991413.6684992,877912862.0532633
广西壮族自治区,7,1962,8,1342442958.8588173,1179547413.9437094
新疆维吾尔自治区,7,1962,8,8684046019.524332,10615471846.600647
江苏省,7,1962,8,1512217985.9654949,1783937079.0915062
江西省,7,1962,8,881307122.4691349,660011840.8865371
河北省,7,1962,8,3221964348.604246,1962329973.9565635
河南省,7,1962,8,2606393153.142848,1685363071.3842552
浙江省,7,1962,8,756019806.5417192,1047575500.9709154
海南省,7,1962,8,64099217.753311224,122193547.0780594
湖北省,7,1962,8,1957287102.7176855,1837891614.3891807
湖南省,7,1962,8,1896580472.8428447,1012737867.2838241
甘肃省,7,1962,8,2066485075.3453841,1154238963.9369857
福建省,7,1962,8,393690491.71681726,353015040.9712914
西藏自治区,7,1962,8,2251579734.594716,4253143547.070231
贵州省,7,1962,8,997589474.1163011,399103177.64548844
辽宁省,7,1962,8,1428910988.9073467,1037286748.3630112
重庆市,7,1962,8,459851353.4308563,361571078.1806852
陕西省,7,1962,8,1240719590.01477,742565771.3628772
青海省,7,1962,8,560620356.4791126,328013062.1700611
香港特别行政区,7,1962,8,365241.77339920757,55170.4117081796
黑龙江省,7,1962,8,5620692367.31211,7669986869.381574
上海市,8,1962,9,13810164.872519149,1690175.828325147
云南省,8,1962,9,1914632588.5779831,847131235.6885568
